"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 08:33:26 GMT 2023","Thu Apr 13 08:33:27 GMT 2023","1656","conduit_tests","test_conduit","TestConduit","","","Feedek címeinek listázása",""
"passed","Thu Apr 13 08:33:13 GMT 2023","Thu Apr 13 08:33:24 GMT 2023","10955","conduit_tests","test_conduit","TestConduit","","","Több feed létrehozásának tesztelése külső fájlból",""
"passed","Thu Apr 13 08:32:39 GMT 2023","Thu Apr 13 08:32:42 GMT 2023","2861","conduit_tests","test_conduit","TestConduit","","","Regisztráció funkció tesztelése helyes adatokkal",""
"passed","Thu Apr 13 08:32:55 GMT 2023","Thu Apr 13 08:32:58 GMT 2023","3770","conduit_tests","test_conduit","TestConduit","","","Feed törlése funkció tesztelése",""
"passed","Thu Apr 13 08:32:45 GMT 2023","Thu Apr 13 08:32:46 GMT 2023","1065","conduit_tests","test_conduit","TestConduit","","","Kijelentkezés funkció tesztelése",""
"passed","Thu Apr 13 08:32:51 GMT 2023","Thu Apr 13 08:32:53 GMT 2023","2469","conduit_tests","test_conduit","TestConduit","","","Új feed létrehozása funkció tesztelése",""
"passed","Thu Apr 13 08:33:06 GMT 2023","Thu Apr 13 08:33:12 GMT 2023","6108","conduit_tests","test_conduit","TestConduit","","","Profilnév megváltoztatása funkció tesztelése",""
"passed","Thu Apr 13 08:33:00 GMT 2023","Thu Apr 13 08:33:05 GMT 2023","4766","conduit_tests","test_conduit","TestConduit","","","Feed modosítása funckió tesztelése",""
"passed","Thu Apr 13 08:32:48 GMT 2023","Thu Apr 13 08:32:49 GMT 2023","1647","conduit_tests","test_conduit","TestConduit","","","Több oldalas lista bejárásának tesztelése",""
"passed","Thu Apr 13 08:32:43 GMT 2023","Thu Apr 13 08:32:44 GMT 2023","900","conduit_tests","test_conduit","TestConduit","","","Bejelentlezás funkció tesztelése helyes adatokkal",""
"passed","Thu Apr 13 08:33:29 GMT 2023","Thu Apr 13 08:33:31 GMT 2023","1713","conduit_tests","test_conduit","TestConduit","","","Feedek címeinek listázása és mentése külső fájlba",""
"passed","Thu Apr 13 08:32:37 GMT 2023","Thu Apr 13 08:32:37 GMT 2023","208","conduit_tests","test_conduit","TestConduit","","","Cookie elfogadásának tesztelése",""
